fish_id,profile_id,tags,mozilla_id
f88c04f4c8b04e22b7801de07186f4ea,CLD_026_FR,"['fr', 'old', 'male', 'Canadian']",dc06bb586cc3aec0e7d4e8c2feaa9c0bdb17288a2c39d158dd3bafb16c9e513ccb262b879cdfd5b241290843984e74fd64e0d677b93c2d92966db6b1bd569641
f661a04ef70849bd84fb2392511efe76,CLD_008_FR,"['fr', 'young', 'female', 'Canadian']",e26d042cfc0084720c5ebefd5fa67f4c62b5f851cd6f36f64538cbd8f9b178158e5c8cd52c6320581282a6f7ea271c4c6c2b378603703bff1a6a767973a25253
f4030afec0be42d4b15d87dccc031c8b,GPT_013_FR,"['fr', 'middle-age', 'male', 'Metropolitan']",48c3b9ae45abc9e6be72b558f615b9d146834760630fdc6c41d975507b9c0c4cc06fbbf288ed3b8f6ccf44560a366d5523ac5d59418a3b2c1cd41bb92b6269ed
f1c500e5005b40a3b2fffd104548aa0c,GMA_020_FR,"['fr', 'middle-age', 'female', 'Canadian']",4ec01c70d1136115bf3e269d2dbe6b7c47b6611169c791da29843630060b15ebdda47cf9ce312c69eea7b28f128b8e915070e733485cd9781bb034d568e8d088
ed84851935a54a67b089c8ae1e2536fc,GPT_036_FR,"['fr', 'old', 'female', 'Caribbean']",e94cd756b0156078d3b30f18d85561998cd61cb95e3fb71ad2affa9da6a23c00a29dd888145ce1a45dd83876c31f451790d9ac754f396ae44291cd4c361c2590
d993b784dd82475e8f0ba6086fe13a2c,GPT_006_FR,"['fr', 'young', 'male', 'Caribbean']",03d120b9440520e66df847246a5cd0f51077c74a09aa33fe91b8a7f74a9c58e12bc5f46555faf3bff3fa4e19091156e0edb0898aca0244677a9e91ea7ab5d722
d836835151b14c3f876535dc863d9871,CLD_018_FR,"['fr', 'middle-age', 'male', 'Caribbean']",4093f5a546a571195a58d7c68a4a560c7827f0070f5477718a87e3eef3f7aa923a80bd6f835bda9909d20120721b06e66ed24982b5570b8eeed806862d9e3ac1
d7d9608d6571422ea8ae6dca4b641ac2,GPT_003_FR,"['fr', 'young', 'male', 'European']",43f7c6cf954186ec7eb47242a85e66addef5c43c9048abc390f4aa149f0276395a5d89a888fd5593c6c43ebd73f83d277eb804e37d60605f8a2d92a6a0d1be1a
d63162efa7034294b2d8cba96e7594a1,CLD_019_FR,"['fr', 'middle-age', 'female', 'Metropolitan']",3ce647c532a6a3025a3fadf0ea0ff67f203a7347719e0b41773ee6966708fbef02f7c752a742a4f353c596e9087a301a4cfb82cfe36a8df8d505707db162c88e
d4ebb9fe1dd24a48876d3d8569e71482,GPT_016_FR,"['fr', 'middle-age', 'male', 'African']",b7b586db5b499b026a00cdacc24d6f1c2cd2b7f183471244b4619c5aa36536d7b1c2fc559866eec8160c2ab98632c6158c8f8d0c5886b77bf6d8328d4fe4146f
