profile_id,age,gender,accent,scenario_id,file,duration,sentence,label,intensity
CLD_001_FR,young,male,Metropolitan,AH20_8,CLD_001_FR_AH20_8.wav,3.619375,"Non mais sérieux, elle me lâche maintenant, en plein milieu de la route ?",angry,4
CLD_001_FR,young,male,Metropolitan,AH20_9,CLD_001_FR_AH20_9.wav,5.1054375,"Eh oh, t'as vu où t'allais ou quoi ?! Je viens de la faire réparer cette caisse !",angry,4
CLD_001_FR,young,male,Metropolitan,AH23_10,CLD_001_FR_AH23_10.wav,4.87325,"Toi entre tous, je m'attendais pas à ce que tu me racontes des bobards en pleine face.",sad,4
CLD_001_FR,young,male,Metropolitan,AH23_11,CLD_001_FR_AH23_11.wav,5.151875,"Sérieux, vous pourriez au moins faire semblant d'écouter ce que je dis avant de tout balayer.",angry,4
CLD_001_FR,young,male,Metropolitan,AH26_12,CLD_001_FR_AH26_12.wav,5.1054375,"Attends, t'as aucune preuve et tu me balances ça en pleine face ? C'est pas moi, point.",angry,4
CLD_001_FR,young,male,Metropolitan,AH33_13,CLD_001_FR_AH33_13.wav,3.7586875,"Mais là tu dis n'importe quoi, ça n'a aucun sens ce que tu racontes !",angry,4
CLD_001_FR,young,male,Metropolitan,AH41_14,CLD_001_FR_AH41_14.wav,3.48,"Eh, on parle pas comme ça aux gens, t'as appris quoi à la maison ?",angry,3
CLD_001_FR,young,male,Metropolitan,AH44_15,CLD_001_FR_AH44_15.wav,3.5729375,"Il est trois heures du matin, là, tu comptes faire ça encore longtemps ?",angry,4
CLD_001_FR,young,male,Metropolitan,AL0_1,CLD_001_FR_AL0_1.wav,3.387125,"Eh non, lâche ça tout de suite, tu vas t'électrocuter !",angry,4
CLD_001_FR,young,male,Metropolitan,AL17_5,CLD_001_FR_AL17_5.wav,3.29425,"Ça fait vingt minutes qu'on a pas bougé d'un mètre, c'est pas possible.",angry,4
CLD_001_FR,young,male,Metropolitan,AL17_6,CLD_001_FR_AL17_6.wav,3.1085,"Hé oh, y a une queue là, vous vous croyez où ?",angry,4
CLD_001_FR,young,male,Metropolitan,AL1_2,CLD_001_FR_AL1_2.wav,5.1983125,"Sérieux, c'est encore à moi de rattraper tes erreurs ? J'en ai marre de payer pour toi.",angry,4
CLD_001_FR,young,male,Metropolitan,AL1_3,CLD_001_FR_AL1_3.wav,5.1983125,"Attends, c'est moi qui ai bossé là-dessus pendant des nuits, et là tu prends tout le crédit devant tout le monde ?",angry,4
CLD_001_FR,young,male,Metropolitan,AL42_7,CLD_001_FR_AL42_7.wav,3.48,"Laisse-moi finir une phrase, juste une, c'est trop demander ?",angry,4
CLD_001_FR,young,male,Metropolitan,AL6_4,CLD_001_FR_AL6_4.wav,3.71225,"Sérieux les gars, on peut pas gagner si vous ratez tout ce que vous touchez.",angry,4
CLD_001_FR,young,male,Metropolitan,JH15_9,CLD_001_FR_JH15_9.wav,4.548125,"Il est là, il est enfin là... regarde ses petits doigts, c'est dingue.",happy,5
CLD_001_FR,young,male,Metropolitan,JH16_10,CLD_001_FR_JH16_10.wav,3.7586875,"Respire-moi cet air, ça fait un bien fou de couper du bruit de la ville.",happy,3
CLD_001_FR,young,male,Metropolitan,JH16_11,CLD_001_FR_JH16_11.wav,3.990875,"Regarde-moi ces ruelles, on dirait qu'on a remonté le temps de deux siècles.",happy,4
CLD_001_FR,young,male,Metropolitan,JH29_12,CLD_001_FR_JH29_12.wav,4.2695,"On l'a fait, on est vraiment mariés, j'arrive pas à y croire !",happy,5
CLD_001_FR,young,male,Metropolitan,JH32_13,CLD_001_FR_JH32_13.wav,3.5729375,"T'es enfin là, tu m'as tellement manqué, viens dans mes bras !",happy,5
CLD_001_FR,young,male,Metropolitan,JH42_14,CLD_001_FR_JH42_14.wav,3.5729375,"Mais c'est dingue, il vient de jouer tous les morceaux que j'attendais !",happy,5
CLD_001_FR,young,male,Metropolitan,JH46_15,CLD_001_FR_JH46_15.wav,3.5729375,"Sérieux, t'as pensé à ça pour moi ? Je sais même pas quoi dire.",happy,4
