sName,sID,wID,file
Anesia,F040,0000,F040-0000.wav
Anesia,F040,0001,F040-0001.wav
Anesia,F040,0002,F040-0002.wav
Anesia,F040,0003,F040-0003.wav
Anesia,F040,0004,F040-0004.wav
Anesia,F040,0005,F040-0005.wav
Anesia,F040,0006,F040-0006.wav
Anesia,F040,0007,F040-0007.wav
Anesia,F040,0008,F040-0008.wav
Anesia,F040,0009,F040-0009.wav
Anesia,F040,0010,F040-0010.wav
Anesia,F040,0011,F040-0011.wav
Anesia,F040,0012,F040-0012.wav
Anesia,F040,0013,F040-0013.wav
Anesia,F040,0014,F040-0014.wav
Anesia,F040,0015,F040-0015.wav
Anesia,F040,0016,F040-0016.wav
Anesia,F040,0017,F040-0017.wav
Anesia,F040,0018,F040-0018.wav
Anesia,F040,0019,F040-0019.wav
Anesia,F040,0020,F040-0020.wav
Anesia,F040,0021,F040-0021.wav
Anesia,F040,0022,F040-0022.wav
Anesia,F040,0023,F040-0023.wav
Anesia,F040,0024,F040-0024.wav
Anesia,F040,0025,F040-0025.wav
Anesia,F040,0026,F040-0026.wav
Anesia,F040,0027,F040-0027.wav
Anesia,F040,0028,F040-0028.wav
Anesia,F040,0029,F040-0029.wav
Anesia,F040,0030,F040-0030.wav
Anesia,F040,0031,F040-0031.wav
Anesia,F040,0032,F040-0032.wav
Anesia,F040,0033,F040-0033.wav
Anesia,F040,0034,F040-0034.wav
Anesia,F040,0035,F040-0035.wav
Anesia,F040,0036,F040-0036.wav
Anesia,F040,0037,F040-0037.wav
Anesia,F040,0038,F040-0038.wav
Anesia,F040,0039,F040-0039.wav
Anesia,F040,0040,F040-0040.wav
Anesia,F040,0041,F040-0041.wav
Anesia,F040,0042,F040-0042.wav
Anesia,F040,0043,F040-0043.wav
Anesia,F040,0044,F040-0044.wav
Anesia,F040,0045,F040-0045.wav
Anesia,F040,0046,F040-0046.wav
Anesia,F040,0047,F040-0047.wav
Anesia,F040,0048,F040-0048.wav
Anesia,F040,0049,F040-0049.wav
Anesia,F040,0050,F040-0050.wav
Anesia,F040,0051,F040-0051.wav
Anesia,F040,0052,F040-0052.wav
Anesia,F040,0053,F040-0053.wav
Anesia,F040,0054,F040-0054.wav
Anesia,F040,0055,F040-0055.wav
Anesia,F040,0056,F040-0056.wav
Anesia,F040,0057,F040-0057.wav
Anesia,F040,0058,F040-0058.wav
Anesia,F040,0059,F040-0059.wav
Anesia,F040,0060,F040-0060.wav
Anesia,F040,0061,F040-0061.wav
Anesia,F040,0062,F040-0062.wav
Anesia,F040,0063,F040-0063.wav
Anesia,F040,0064,F040-0064.wav
Anesia,F040,0065,F040-0065.wav
Anesia,F040,0066,F040-0066.wav
Anesia,F040,0067,F040-0067.wav
Anesia,F040,0068,F040-0068.wav
Anesia,F040,0069,F040-0069.wav
Anesia,F040,0070,F040-0070.wav
Anesia,F040,0071,F040-0071.wav
Anesia,F040,0072,F040-0072.wav
Anesia,F040,0073,F040-0073.wav
Anesia,F040,0074,F040-0074.wav
Anesia,F040,0075,F040-0075.wav
Anesia,F040,0076,F040-0076.wav
Anesia,F040,0077,F040-0077.wav
Anesia,F040,0078,F040-0078.wav
Anesia,F040,0079,F040-0079.wav
Anesia,F040,0080,F040-0080.wav
Anesia,F040,0081,F040-0081.wav
Anesia,F040,0082,F040-0082.wav
Anesia,F040,0083,F040-0083.wav
Anesia,F040,0084,F040-0084.wav
Anesia,F040,0085,F040-0085.wav
Anesia,F040,0086,F040-0086.wav
Anesia,F040,0087,F040-0087.wav
Anesia,F040,0088,F040-0088.wav
Anesia,F040,0089,F040-0089.wav
Anesia,F040,0090,F040-0090.wav
Anesia,F040,0091,F040-0091.wav
Anesia,F040,0092,F040-0092.wav
Anesia,F040,0093,F040-0093.wav
Anesia,F040,0094,F040-0094.wav
Anesia,F040,0095,F040-0095.wav
Anesia,F040,0096,F040-0096.wav
Anesia,F040,0097,F040-0097.wav
Anesia,F040,0098,F040-0098.wav
Anesia,F040,0099,F040-0099.wav
Anesia,F040,0100,F040-0100.wav
Anesia,F040,0101,F040-0101.wav
Anesia,F040,0102,F040-0102.wav
Anesia,F040,0103,F040-0103.wav
Anesia,F040,0104,F040-0104.wav
Anesia,F040,0105,F040-0105.wav
Anesia,F040,0106,F040-0106.wav
Anesia,F040,0107,F040-0107.wav
Anesia,F040,0108,F040-0108.wav
Anesia,F040,0109,F040-0109.wav
Anesia,F040,0110,F040-0110.wav
Anesia,F040,0111,F040-0111.wav
Anesia,F040,0112,F040-0112.wav
Anesia,F040,0113,F040-0113.wav
Anesia,F040,0114,F040-0114.wav
Anesia,F040,0115,F040-0115.wav
Anesia,F040,0116,F040-0116.wav
Anesia,F040,0117,F040-0117.wav
Anesia,F040,0118,F040-0118.wav
Anesia,F040,0119,F040-0119.wav
Anesia,F040,0120,F040-0120.wav
Anesia,F040,0121,F040-0121.wav
Anesia,F040,0122,F040-0122.wav
Anesia,F040,0123,F040-0123.wav
Anesia,F040,0124,F040-0124.wav
Anesia,F040,0125,F040-0125.wav
Anesia,F040,0126,F040-0126.wav
Anesia,F040,0127,F040-0127.wav
Anesia,F040,0128,F040-0128.wav
Anesia,F040,0129,F040-0129.wav
Anesia,F040,0130,F040-0130.wav
Anesia,F040,0131,F040-0131.wav
Anesia,F040,0132,F040-0132.wav
Anesia,F040,0133,F040-0133.wav
Anesia,F040,0134,F040-0134.wav
Anesia,F040,0135,F040-0135.wav
Anesia,F040,0136,F040-0136.wav
Anesia,F040,0137,F040-0137.wav
Anesia,F040,0138,F040-0138.wav
Anesia,F040,0139,F040-0139.wav
Anesia,F040,0140,F040-0140.wav
Anesia,F040,0141,F040-0141.wav
Anesia,F040,0142,F040-0142.wav
Anesia,F040,0143,F040-0143.wav
Anesia,F040,0144,F040-0144.wav
Anesia,F040,0145,F040-0145.wav
Anesia,F040,0146,F040-0146.wav
Anesia,F040,0147,F040-0147.wav
Anesia,F040,0148,F040-0148.wav
Anesia,F040,0149,F040-0149.wav
Anesia,F040,0150,F040-0150.wav
Anesia,F040,0151,F040-0151.wav
Anesia,F040,0152,F040-0152.wav
Anesia,F040,0153,F040-0153.wav
Anesia,F040,0154,F040-0154.wav
Anesia,F040,0155,F040-0155.wav
