profile_id,age,gender,accent,scenario_id,file,duration,sentence,label,intensity
CLD_002_PT,young,male,Nordestino,AH20_8,CLD_002_PT_AH20_8.wav,6.1735625,"Ah, não, logo agora? Parou de uma hora pra outra, nem deu sinal de nada!",angry,4
CLD_002_PT,young,male,Nordestino,AH20_9,CLD_002_PT_AH20_9.wav,6.1735625,"Ei, você não viu que eu tava passando, não?! Acabou de amassar a lateral inteira do meu carro!",angry,5
CLD_002_PT,young,male,Nordestino,AH23_10,CLD_002_PT_AH23_10.wav,6.9165625,"Logo você, cara... eu confiava em você de olhos fechados, e você me olhou na cara e mentiu.",sad,4
CLD_002_PT,young,male,Nordestino,AH23_11,CLD_002_PT_AH23_11.wav,5.059,"Pô, eu também tô falando aqui, ó. Será que dá pra escutar o que eu penso pelo menos uma vez?",angry,4
CLD_002_PT,young,male,Nordestino,AH26_12,CLD_002_PT_AH26_12.wav,5.24475,"Calma aí, eu nem tava perto quando isso aconteceu. Por que logo eu, cara?",angry,4
CLD_002_PT,young,male,Nordestino,AH33_13,CLD_002_PT_AH33_13.wav,4.7339375,"Cara, escuta o que você tá falando, não faz o menor sentido o que você tá querendo.",angry,4
CLD_002_PT,young,male,Nordestino,AH41_14,CLD_002_PT_AH41_14.wav,3.1085,"Eita, quem te ensinou a falar desse jeito, menino?",neutral,2
CLD_002_PT,young,male,Nordestino,AH44_15,CLD_002_PT_AH44_15.wav,3.6658125,"Pô, são quase duas da manhã, vai parar com essa zoeira ou não?",angry,3
CLD_002_PT,young,male,Nordestino,AL0_1,CLD_002_PT_AL0_1.wav,4.0373125,"Ei, larga isso agora! Tu quer levar um choque, criatura?",angry,4
CLD_002_PT,young,male,Nordestino,AL17_5,CLD_002_PT_AL17_5.wav,6.0806875,"Rapaz, já são quinze minutos parado no mesmo lugar e essa fila não anda nem um metro!",angry,4
CLD_002_PT,young,male,Nordestino,AL17_6,CLD_002_PT_AL17_6.wav,5.802,"Ô meu amigo, a fila começa lá atrás, viu? Todo mundo aqui tá esperando faz tempo.",angry,4
CLD_002_PT,young,male,Nordestino,AL1_2,CLD_002_PT_AL1_2.wav,8.124,"Rapaz, de novo a mesma coisa? Eu que tô apanhando aqui por causa do teu descuido, presta atenção no que tu faz!",angry,4
CLD_002_PT,young,male,Nordestino,AL1_3,CLD_002_PT_AL1_3.wav,7.3345625,"Peraí, esse projeto foi eu que fiz do começo ao fim, e agora tu chega na frente do chefe levando os louros?",angry,4
CLD_002_PT,young,male,Nordestino,AL42_7,CLD_002_PT_AL42_7.wav,3.805125,"Deixa eu terminar de falar, rapaz, toda hora você corta no meio.",angry,3
CLD_002_PT,young,male,Nordestino,AL6_4,CLD_002_PT_AL6_4.wav,5.0125625,"Gente, foca aí no objetivo, a gente tá entregando tudo de graça pro outro time!",angry,4
CLD_002_PT,young,male,Nordestino,JH15_9,CLD_002_PT_JH15_9.wav,5.523375,"Meu Deus, ele chegou! Olha que coisinha mais perfeita, mal acredito que é meu filho!",happy,5
CLD_002_PT,young,male,Nordestino,JH16_10,CLD_002_PT_JH16_10.wav,7.288125,"Rapaz, que ar puro é esse? Dá vontade de ficar aqui o dia todo só ouvindo esse rio correr.",happy,4
